currency_id,symbol,name,market_cap,price,price_change_percentage_24h,volume_24h,last_updated
16,WBTC,Wrapped Bitcoin,12702877547.00,94575.0000000000,0.71,982598417.00,2024-12-20 17:08:07.325424
280,QGOLD,Quorium,215310227.00,2565.0800000000,-0.31,147147.00,2024-12-20 17:08:07.965608
223,VIRTUAL,Virtuals Protocol,2263697894.00,2.2700000000,-10.97,446901537.00,2024-12-20 17:08:07.341079
225,PEOPLE,ConstitutionDAO,201575659.00,0.0397480900,11.89,319372209.00,2024-12-20 17:08:07.970608
277,NPC,Non-Playable Coin,194443017.00,0.0241305200,4.49,14017289.00,2024-12-20 17:08:07.973514
273,PAAL,PAAL AI,183285695.00,0.2109290000,-6.05,23234709.00,2024-12-20 17:08:07.977784
199,LPT,Livepeer,439946381.00,11.9800000000,3.12,139230547.00,2024-12-20 17:08:07.379774
231,TBTC,tBTC,438238876.00,94563.0000000000,0.49,23817714.00,2024-12-20 17:08:07.379774
236,AEVO,Aevo,318261898.00,0.3530380000,7.59,177585745.00,2024-12-20 17:08:07.941639
215,USD0,Usual USD,1323909759.00,0.9970890000,0.16,197594534.00,2024-12-20 17:08:07.349078
222,CRV,Curve DAO,931376037.00,0.7385590000,3.76,777262377.00,2024-12-20 17:08:07.357079
204,KAVA,Kava,431818737.00,0.3982860000,2.62,34418816.00,2024-12-20 17:08:07.380775
248,KSM,Kusama,431155615.00,27.1400000000,2.14,66916723.00,2024-12-20 17:08:07.380775
261,BITCOIN,HarryPotterObamaSonic10Inu (ETH),183042225.00,0.1835020000,11.56,9584207.00,2024-12-20 17:08:07.977784
201,DOGS,Dogs,261010319.00,0.0005040000,32.89,188804371.00,2024-12-20 17:08:07.956608
255,PONKE,PONKE,176521446.00,0.3227220000,-1.34,36304544.00,2024-12-20 17:08:07.980783
192,SWETH,Swell Ethereum,428402102.00,3527.6800000000,4.03,2583151.00,2024-12-20 17:08:07.380775
200,ETHX,Stader ETHx,428069313.00,3429.8300000000,4.11,42933.00,2024-12-20 17:08:07.381773
239,DASH,Dash,414728194.00,34.3000000000,3.60,153248306.00,2024-12-20 17:08:07.381773
205,TFUEL,Theta Fuel,412248417.00,0.0607130000,3.44,9785494.00,2024-12-20 17:08:07.382772
194,USYC,Hashnote USYC,405583298.00,1.0790000000,0.25,266457.00,2024-12-20 17:08:07.383773
221,ETHFI,Ether.fi,403206990.00,1.9300000000,3.55,354309221.00,2024-12-20 17:08:07.383773
190,WOO,WOO,369346740.00,0.1977780000,4.21,68435887.00,2024-12-20 17:08:07.388774
208,BUSD,Binance-Peg BUSD,366834504.00,0.9973780000,-0.05,40919667.00,2024-12-20 17:08:07.389774
207,SFRXETH,Staked Frax Ether,365492954.00,3599.5900000000,5.47,349606.00,2024-12-20 17:08:07.389774
217,WEMIX,WEMIX,357744680.00,0.8693060000,4.39,9036941.00,2024-12-20 17:08:07.389774
202,ZETA,ZetaChain,314720059.00,0.5452520000,5.64,74117331.00,2024-12-20 17:08:07.942639
216,SFP,SafePal,312645765.00,0.6406300000,-0.54,15666958.00,2024-12-20 17:08:07.943639
234,OSMO,Osmosis,306421315.00,0.4368570000,1.09,27208948.00,2024-12-20 17:08:07.944638
228,ALEO,ALEO,305888278.00,1.0760000000,2.09,16416278.00,2024-12-20 17:08:07.945639
197,JTO,Jito,799926920.00,2.9300000000,6.02,233253472.00,2024-12-20 17:08:07.360652
245,JST,JUST,356576470.00,0.0360351500,0.95,78341102.00,2024-12-20 17:08:07.390776
232,GLM,Golem,342891769.00,0.3420220000,3.30,26092245.00,2024-12-20 17:08:07.391773
229,AMP,Amp,637175724.00,0.0075455900,5.48,65546876.00,2024-12-20 17:08:07.365431
195,RSR,Reserve Rights,544219796.00,0.0100611200,2.78,98674328.00,2024-12-20 17:08:07.371432
242,MANTA,Manta Network,305023448.00,0.7923570000,6.01,97527871.00,2024-12-20 17:08:07.946638
213,PRIME,Echelon Prime,524526183.00,10.2200000000,-4.98,40149381.00,2024-12-20 17:08:07.372432
275,CET,CoinEx,249619951.00,0.0907090000,0.83,512930.00,2024-12-20 17:08:07.958608
209,CELO,Celo,342632107.00,0.6128900000,4.99,131655148.00,2024-12-20 17:08:07.392773
230,MOODENG,Moo Deng,241649434.00,0.2437780000,3.01,218742287.00,2024-12-20 17:08:07.959608
268,ULTIMA,Ultima,175650797.00,4133.4600000000,-0.15,4101301.00,2024-12-20 17:08:07.981784
340,CPOOL,Clearpool,327488359.00,0.4495560000,-0.69,46726129.00,2024-12-20 17:08:07.940639
302,FLUX,Flux,210991411.00,0.5601060000,2.61,35189432.00,2024-12-20 17:08:07.966608
312,BANANA,Banana Gun,134472965.00,38.7600000000,5.18,44209080.00,2024-12-20 17:08:07.997890
333,ANDY,ANDY ETH,195414919.00,0.0001950700,8.39,8079757.00,2024-12-20 17:08:07.972608
334,BAND,Band Protocol,207682865.00,1.3400000000,4.01,25518632.00,2024-12-20 17:08:07.968608
293,KMNO,Kamino,225519436.00,0.1672500000,17.91,26670752.00,2024-12-20 17:08:07.964608
306,UMA,UMA,208760545.00,2.5000000000,3.47,51423636.00,2024-12-20 17:08:07.967608
370,WZRD,Bitcoin Wizards,132270697.00,6.3000000000,-2.59,550622.00,2024-12-03 04:24:08.389792
374,AMPL,Ampleforth,189616170.00,1.0540000000,0.47,2930909.00,2024-12-20 17:08:07.975784
299,DCR,Decred,249079738.00,15.0500000000,1.81,5538144.00,2024-12-20 17:08:07.958608
297,T,Threshold Network,261450121.00,0.0259510200,3.51,38118286.00,2024-12-20 17:08:07.955608
291,RPL,Rocket Pool,233431204.00,11.1100000000,4.09,17376049.00,2024-12-20 17:08:07.962608
290,WELL,Moonwell,195091861.00,0.0625460000,5.28,11619683.00,2024-12-20 17:08:07.973253
350,ZIG,Zignaly,161228392.00,0.1132860000,3.98,4898539.00,2024-12-20 17:08:07.985784
359,MERL,Merlin Chain,117719787.00,0.2413180000,13.57,24433836.00,2024-12-20 17:08:08.005793
348,GLMR,Moonbeam,203824405.00,0.2186110000,2.75,26155551.00,2024-12-20 17:08:07.969609
375,SCR,Scroll,153873520.00,1.1100000000,8.06,147955828.00,2024-12-20 17:08:07.988784
349,AUDIO,Audius,187196701.00,0.1454470000,0.99,25335029.00,2024-12-20 17:08:07.976784
321,HONEY,Hivemapper,214003968.00,0.0690190000,-0.81,2032156.00,2024-12-20 17:08:07.966608
329,ACX,Across Protocol,226392516.00,0.5108590000,-1.47,81964983.00,2024-12-20 17:08:07.963609
335,LRC,Loopring,238285989.00,0.1903240000,-4.04,53725677.00,2024-12-20 17:08:07.960608
327,COTI,COTI,210075048.00,0.1170810000,4.61,63619874.00,2024-12-20 17:08:07.967608
309,BORG,SwissBorg,335800815.00,0.3424420000,5.91,6300978.00,2024-12-20 17:08:07.394774
352,RLB,Rollbit Coin,264571563.00,0.1145410000,4.82,3211228.00,2024-12-20 17:08:07.955608
351,QUBIC,Qubic,371104101.00,0.0000029500,0.46,22764524.00,2024-12-20 17:08:07.387774
368,DEGEN,Degen (Base),176600221.00,0.0102362500,4.05,70295042.00,2024-12-20 17:08:07.980783
289,BICO,Biconomy,242800346.00,0.2647930000,3.58,31346903.00,2024-12-20 17:08:07.958608
316,YGG,Yield Guild Games,188730289.00,0.4589910000,8.67,132804850.00,2024-12-20 17:08:07.975784
371,MYTH,Mythos,151738671.00,0.2016710000,-4.16,2634913.00,2024-12-20 17:08:07.989784
331,XRD,Radix,253598247.00,0.0238733500,2.19,4271124.00,2024-12-20 17:08:07.956608
339,CFG,Centrifuge,158615801.00,0.3103940000,2.56,4735052.00,2024-12-20 17:08:07.986784
287,WBETH,Wrapped Beacon ETH,246003561.00,3459.5500000000,4.31,32003140.00,2024-12-20 17:08:07.958608
285,NXM,Nexus Mutual,224592989.00,67.8400000000,8.84,0.00,2024-12-20 17:08:07.964608
364,SSV,SSV Network,140163228.00,19.7600000000,4.20,104960200.00,2024-12-20 17:08:07.995784
304,SKL,SKALE,237246159.00,0.0456678800,4.71,63741002.00,2024-12-20 17:08:07.960608
284,MPL,Maple,179438464.00,22.9000000000,0.67,3809218.00,2024-11-18 23:56:11.974911
326,YFI,yearn.finance,270469646.00,8042.3300000000,2.70,93687942.00,2024-12-20 17:08:07.953603
283,AVAIL,Avail,233640651.00,0.1226020000,0.70,7240538.00,2024-12-20 17:08:07.961609
